1D,2D,clinical,label
0.5539547,0.30593318,0.50606334,N
0.55090684,0.29842445,0.5068478,N
0.54918194,0.29335573,0.50673276,N
0.5511997,0.29840744,0.5082535,N
0.5570151,0.29715687,0.5070857,N
0.55764246,0.3028018,0.50887966,N
0.551138,0.29674125,0.50254536,S
0.5585093,0.30489022,0.51008224,N
0.5513379,0.29706457,0.5073147,N
0.55050546,0.298374,0.50745124,N
0.5489212,0.29503638,0.5083201,N
0.55260426,0.30103958,0.50731856,N
0.5513387,0.29657912,0.50685525,N
0.55265325,0.29378325,0.50796735,N
0.5540095,0.29789245,0.5087858,N
0.5519903,0.30181804,0.5081317,N
0.54974055,0.2980617,0.5076301,N
0.55139816,0.29497957,0.5081318,N
0.55679286,0.3070744,0.5052933,N
0.55073225,0.29782563,0.506407,N
0.55473816,0.29888737,0.50533307,N
0.54987663,0.29573536,0.5083762,N
0.55593985,0.29608524,0.5080294,N
0.55156946,0.2977509,0.50626415,N
0.56150335,0.30628103,0.5042805,N
0.5562902,0.29457837,0.50676656,N
0.5567456,0.2977519,0.506255,N
0.5557333,0.29913583,0.5053282,N
0.55208397,0.29644614,0.5064058,N
0.5555174,0.29510775,0.50755715,N
0.55896926,0.29860076,0.5073107,N
0.5595388,0.30335158,0.5041535,N
